id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
4650,03N,small_airport,Utirik Airport,11.222,169.852005,4,OC,MH,MH-UTI,Utirik Island,yes,K03N,UTK,03N,,https://en.wikipedia.org/wiki/Utirik_Airport,
7063,0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305,NA,US,US-AK,Pilot Station,yes,,PQS,0AK,,https://en.wikipedia.org/wiki/Pilot_Station_Airport,
7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,NA,US,US-AK,Nunapitchuk,yes,PPIT,NUP,16A,,https://en.wikipedia.org/wiki/Nunapitchuk_Airport,
8159,19P,seaplane_base,Port Protection Seaplane Base,56.328800201416,-133.61000061035,0,NA,US,US-AK,Port Protection,yes,19P,PPV,19P,,https://en.wikipedia.org/wiki/Port_Protection_Seaplane_Base,
11318,4A2,small_airport,Atmautluak Airport,60.866699,-162.272996,17,NA,US,US-AK,Atmautluak,yes,,ATT,4A2,,https://en.wikipedia.org/wiki/Atmautluak_Airport,08AK
11487,4K5,small_airport,Ouzinkie Airport,57.925362,-152.496715,55,NA,US,US-AK,Ouzinkie,yes,,KOZ,4K5,,https://en.wikipedia.org/wiki/Ouzinkie_Airport,
11820,4Z7,seaplane_base,Hyder Seaplane Base,55.903324,-130.009975,,NA,US,US-AK,Hyder,yes,,WHD,4Z7,,https://en.wikipedia.org/wiki/Hyder_Seaplane_Base,
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,NA,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,
12429,5KE,seaplane_base,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,,NA,US,US-AK,Ketchikan,yes,,WFB,5KE,,https://en.wikipedia.org/wiki/Ketchikan_Harbor_Seaplane_Base,
13405,6N5,heliport,East 34th Street Heliport,40.74259948730469,-73.97209930419922,10,NA,US,US-NY,New York,yes,6N5,TSS,6N5,,,
13407,6N7,seaplane_base,New York Skyports Inc Seaplane Base,40.735061,-73.972814,,NA,US,US-NY,New York,yes,,QNY,6N7,,https://en.wikipedia.org/wiki/New_York_Skyports_Inc._Seaplane_Base,
14173,7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62,NA,US,US-AK,Tatitlek,yes,PAKA,TEK,7KA,,https://en.wikipedia.org/wiki/Tatitlek_Airport,
15640,9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244,NA,US,US-AK,Chuathbaluk,yes,PACH,CHU,9A3,,https://en.wikipedia.org/wiki/Chuathbaluk_Airport,
16069,9Z8,small_airport,Levelock Airport,59.12606,-156.860906,39,NA,US,US-AK,Levelock,yes,,KLL,9Z8,,https://en.wikipedia.org/wiki/Levelock_Airport,
16089,A79,small_airport,Chignik Lake Airport,56.2550010681,-158.774993896,50,NA,US,US-AK,Chignik Lake,yes,A79,KCQ,A79,,https://en.wikipedia.org/wiki/Chignik_Lake_Airport,
301649,AGAF,small_airport,Afutara Aerodrome,-9.19138888889,160.948611111,23,OC,SB,SB-ML,Bila,yes,AGAF,AFT,,,https://en.wikipedia.org/wiki/Afutara_Airport,
35172,AGAT,small_airport,Uru Harbour Airport,-8.87333,161.011002,,OC,SB,SB-ML,Atoifi,yes,AGAT,ATD,,,https://en.wikipedia.org/wiki/Uru_Harbour_Airport,
30634,AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5,OC,SB,SB-ML,Auki,yes,AGGA,AKS,,,https://en.wikipedia.org/wiki/Auki_Airport,
302047,AGGB,small_airport,Bellona/Anua Airport,-11.302222222200001,159.798333333,60,OC,SB,SB-RB,Anua,yes,AGGB,BNY,,,https://en.wikipedia.org/wiki/Bellona/Anua_Airport,
302291,AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,,OC,SB,SB-CH,,yes,AGGC,CHY,,,https://en.wikipedia.org/wiki/Choiseul_Bay_Airport,
30678,AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,5,OC,SB,SB-WE,Ballalae,yes,AGGE,BAS,,,https://en.wikipedia.org/wiki/Balalae_Airport,
35167,AGGF,small_airport,Fera/Maringe Airport,-8.1075,159.576996,,OC,SB,SB-IS,Fera Island,yes,AGGF,FRE,,,https://en.wikipedia.org/wiki/Fera_Airport,Santa Isabel Islands
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,,,https://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field
31885,AGGI,small_airport,Babanakira Airport,-9.7475004196167,159.83900451660156,,OC,SB,SB-GU,Mbambanakira,yes,AGGI,MBU,,,,Mbambanakira Airport
