country,city,metropolitan_code,airport_code
China,Beijing,BJS,PEK
China,Beijing,BJS,PKX
Indonesia,Jakarta,JKT,CGK
Indonesia,Jakarta,JKT,HLP
Japan,Osaka,OSA,KIX
Japan,Osaka,OSA,ITM
Japan,Sapporo,SPK,CTS
Japan,Sapporo,SPK,OKD
South,Seoul,SEL,ICN
South,Seoul,SEL,GMP
Japan,Tokyo,TYO,NRT
Japan,Tokyo,TYO,HND
Australia,Melbourne,MEL,MEL
Australia,Melbourne,MEL,AVV
Australia,Melbourne,MEL,MEB
China,Shanghai,SHA,SHA
China,Shanghai,SHA,PVG
Romania,Bucharest,BUH,OTP
Romania,Bucharest,BUH,BBU
United,London,LON,BQH
United,London,LON,LCY
United,London,LON,LGW
United,London,LON,LTN
United,London,LON,LHR
United,London,LON,ZLS
United,London,LON,QQP
United,London,LON,QQS
United,London,LON,SEN
United,London,LON,STN
United,London,LON,ZEP
United,London,LON,QQW
Italy,Milan,MIL,MXP
Italy,Milan,MIL,LIN
Russia,Moscow,MOW,SVO
Russia,Moscow,MOW,DME
Russia,Moscow,MOW,VKO
France,Paris,PAR,CDG
France,Paris,PAR,ORY
France,Paris,PAR,LBG
Italy,Rome,ROM,FCO
Italy,Rome,ROM,CIA
Sweden,Stockholm,STO,ARN
Sweden,Stockholm,STO,NYO
Sweden,Stockholm,STO,BMA
United,Chicago,CHI,ORD
United,Chicago,CHI,MDW
United,Detroit,DTT,DTW
United,Detroit,DTT,YIP
United,Houston,QHO,IAH
United,Houston,QHO,HOU
United,Los Angeles,QLA,LAX
United,Los Angeles,QLA,ONT
United,Los Angeles,QLA,SNA
United,Los Angeles,QLA,BUR
United,Miami,QMI,MIA
United,Miami,QMI,FLL
United,Miami,QMI,PBI
Canada,Montreal,YMQ,YUL
Canada,Montreal,YMQ,YMY
United,New York City,NYC,JFK
United,New York City,NYC,EWR
United,New York City,NYC,LGA
United,New York City,NYC,HPN
United,San Francisco Bay Area,QSF,SFO
United,San Francisco Bay Area,QSF,OAK
United,San Francisco Bay Area,QSF,SJC
Canada,Toronto,YTO,YYZ
Canada,Toronto,YTO,YTZ
United,Washington DC,WAS,IAD
United,Washington DC,WAS,DCA
United,Washington DC,WAS,BWI
Argentina,Buenos Aires,BUE,EZE
Argentina,Buenos Aires,BUE,AEP
Brazil,Rio de Janeiro,RIO,GIG
Brazil,Rio de Janeiro,RIO,SDU
Switzerland,Basel,EAP,BSL
Mulhouse,France,EAP,MLH
